产品名称	产品编码	产品型号	计量单位	上期结存(数量)	本期收入(数量)	本期发出(数量)	本期结存(数量)
管状电机定子	 	SS32-440L	个	-6	0	0	-6
管状电机动子	 	SS3208-5.0	个	-24	0	0	-24
管状电机	 	SSD0608HS-0.5-127L	套	-9	0	0	-9
管状电机	 	SSD0608HS-0.5-145L	套	-3	0	10	-13
管状电机	 	SS1606-240L-4.0	套	-2	0	0	-2
管状电机定子	 	SS25H-380L	个	-2	0	0	-2
管状电机定子	 	SS25-410L	个	-1	0	0	-1
管状电机定子	 	SS32-554L	个	-20	0	0	-20
管状电机	 	SSA0605-290L-7.5um-0.5	个	-1	0	0	-1
管状电机	 	SS0802-185L-7.5um	套	-2	0	0	-2
管状电机定子	 	SS32-810L	个	-1	0	0	-1
管状电机	 	SSD0608H-127L	套	-16	0	0	-16
管状电机动子	 	SS3203-3.0	个	-1	0	0	-1
管状电机	 	SS1605N-220L-3.0	个	-2	0	0	-2
管状电机定子	 	SSD06-163L	个	-9	0	0	-9
管状电机动子	 	SSD0610-0.5	个	-4	0	0	-4
管状电机定子	 	SS20-410L	个	-14	0	0	-14
管状电机定子	 	SS20-480L	个	-14	0	0	-14
管状电机定子	 	SS25-800L	个	-1	0	0	-1
管状电机定子	 	SS12-230L	个	-6	0	0	-6
管状电机定子	 	SS25-555L	个	-3	0	0	-3
管状电机动子	 	SSA0806-3.0	个	-1	0	0	-1
管状电机动子	 	SSA0602-0.3	个	-1	0	0	-1
管状电机定子	 	SS16-345L	个	-5	0	0	-5
管状电机定子	 	SS16-435L	个	-5	0	0	-5
管状电机动子	 	SS1605N-3.0	个	-11	0	0	-11
管状电机定子	 	SS32-710L	个	-4	0	0	-4
管状电机动子	 	SS3211-5.0	个	-7	0	0	-7
管状电机模组	 	SS3202SQ-220MD	套	-1	0	0	-1
管状电机定子	 	SS06-250L	个	-6	0	0	-6
管状电机	 	SSD0608H-145L	套	-10289	5	415	-10699
管状电机动子	 	SSD0608H-C	个	-40	0	0	-40
管状电机动子	 	SSD0606H-C	个	-41	0	0	-41
管状电机定子	 	SS07-215L	个	-1	0	0	-1
管状电机动子	 	SS3202SQ-3.0	个	-1	0	0	-1
管状电机定子	 	SS32SQ-220L	个	-1	0	0	-1
管状电机动子	 	SS3208-3.0	个	-2	0	0	-2
管状电机定子	 	SSD06-146L	个	-18	0	0	-18
管状电机定子	 	SS16-190L	个	-2	0	0	-2
管状电机定子	 	SS25-357L	个	-1	0	0	-1
管状电机定子	 	SS08-235L	个	-18	0	0	-18
管状电机动子	 	SS0806-1.0	个	-20	0	0	-20
管状电机	 	SS2006-40DZ-510L	套	-3	0	0	-3
管状电机	 	SS1608-60DZ-540L	套	-3	0	0	-3
管状电机定子	 	SS45-160L	个	-2	0	0	-2
管状电机动子	 	SS4501-3.0	个	-2	0	0	-2
管状电机定子	 	SS20-380L	个	1	0	0	1
管状电机动子	 	SS2003-3.0	个	1	0	0	1
管状电机定子	 	SS16-101L	个	-4	0	0	-4
管状电机动子	 	SS1604N-3.0	个	-4	0	0	-4
管状电机动子	 	SS2004-3.0	个	-349	0	19	-368
管状电机定子	 	SS16-260L	个	-139	0	0	-139
管状电机动子	 	SS1608N-7.0	个	-137	0	0	-137
管状电机定子	 	SS09-210L	个	-7	0	0	-7
管状电机定子	 	SS12-260L	个	-1	0	0	-1
管状电机定子	 	SS12-350L	个	-1	0	0	-1
管状电机定子	 	SQ32-1460L	个	-1	0	0	-1
管状电机动子	 	YK-SS0604-100-3	个	-1	0	0	-1
管状电机定子	 	SS16-140L	个	-1	0	0	-1
管状电机定子	 	SS06-240L	个	-6	0	0	-6
管状电机模组	 	SS1210-140MD	套	-2	0	0	-2
管状电机模组	 	SS1605-295MD	套	-26	0	0	-26
管状电机定子	 	SS16-380L	个	-25	0	0	-25
管状电机动子	 	SS3210-3.0	个	-1	0	0	-1
管状电机定子	 	SS32-480L	个	-1	0	0	-1
管状电机动子	 	SS3204-3.0	个	-1	0	0	-1
管状电机动子	 	SS1605N-1.0	个	-2	0	0	-2
管状电机定子	 	SS16-285L	个	-2	0	0	-2
管状电机动子	 	SSA3208-1.0	个	-3	0	0	-3
管状电机动子	 	SS0602-0.3	个	1	0	0	1
管状电机定子	 	SS12-200L	个	-1	0	0	-1
管状电机定子	 	SS32-400L	个	-2	0	0	-2
管状电机动子	 	SS1607-3.0	个	-2	0	0	-2
管状电机定子	 	SS16-300L	个	-13	0	7	-20
管状电机定子	 	SS08-195L	个	-2	0	0	-2
管状电机定子	 	SSD06-145L	个	-39	0	0	-39
管状电机定子	 	SSD06-118L	个	-44	0	0	-44
管状电机动子	 	SSD0608H-0.5	个	-32	0	0	-32
管状电机动子	 	SS1205-1.0	个	-2	0	0	-2
管状电机定子	 	SS16-270L	个	-1	0	0	-1
管状电机定子	 	SS16-420L	个	-14	0	0	-14
管状电机定子	 	SS20-370L	个	-3	0	0	-3
管状电机动子	 	SS2005-3.0	个	-2	0	0	-2
管状电机动子	 	SS0810-1.0	个	-190	0	0	-190
管状电机定子	 	SS16-385L	个	-2	0	0	-2
管状电机定子	 	SS16-255L	个	-5	0	0	-5
管状电机动子	 	SS1206-3.0	个	-2	0	0	-2
管状电机动子	 	SS0808-0.3	个	-21	0	0	-21
管状电机定子	 	SS12-240L	个	-1	0	0	-1
管状电机定子	 	SS25H-105L	个	-2	0	0	-2
管状电机定子	 	SS08-290L	个	2	0	0	2
管状电机定子	 	SS08-215L	个	-3	0	0	-3
管状电机动子	 	SS1204-1.0	个	1	0	0	1
管状电机动子	 	SS0602-3.0	个	-8	0	2	-10
管状电机定子	 	SS32-320L	个	-13	0	0	-13
管状电机动子	 	SS0906-3.0	个	-7	0	0	-7
管状电机定子	 	SS08-170L	个	-4	0	0	-4
管状电机动子	 	SS3206-3.0	个	-3	0	0	-3
管状电机动子	 	SS0804-2.0	个	-3	0	0	-3
管状电机动子	 	SS1606-3.0	个	-2	0	0	-2
管状电机动子	 	SS1608-3.0	个	-8	0	0	-8
管状电机动子	 	SS1604-3.0	个	-31	0	0	-31
管状电机动子	 	SSD0604-0.5	个	-1	0	0	-1
管状电机定子	 	SS06-185L	个	-4	0	1	-5
管状电机定子	 	SS06-215L	个	-4	0	1	-5
管状电机动子	 	SS0602-1.0	个	-24	0	0	-24
管状电机定子	 	SS16-365L	个	-1	0	0	-1
管状电机定子	 	SS16-570L	个	-3	0	0	-3
管状电机动子	 	SS1605N-1.5	个	-3	0	0	-3
管状电机定子	 	SS09-344L	个	5	0	0	5
管状电机动子	 	SS2006-3.0	个	-1	0	0	-1
管状电机动子	 	SSA1206-3.0	个	-6	0	0	-6
管状电机动子	 	SS0904-10.0	个	-16	0	0	-16
管状电机定子	 	SS16-360L	个	-125	0	0	-125
管状电机定子	 	SS16-280L	个	-170	0	0	-170
管状电机定子	 	SS08-200L	个	-28	0	0	-28
管状电机定子	 	SS32-420L	个	-28	0	0	-28
管状电机动子	 	SS1609-3.0	个	-10	0	0	-10
管状电机动子	 	SSA1210-3.0	个	-1	0	0	-1
管状电机动子	 	SS1605-3.0	个	-44	0	4	-48
管状电机定子	 	SSD06-127L	个	-4	0	0	-4
管状电机动子	 	SSD0606-0.3	个	-1	0	0	-1
管状电机定子	 	SS12-215L	个	-1	0	0	-1
管状电机动子	 	SS1604-2.0	个	-1	0	0	-1
管状电机定子	 	SS06-150L	个	1	0	0	1
管状电机定子	 	SS09-436L	个	-37	0	0	-37
管状电机定子	 	SS32-454L	个	-2	0	0	-2
管状电机定子	 	SS08-210L	个	-243	0	0	-243
管状电机定子	 	SS09-480L	个	-123	0	0	-123
管状电机动子(定制)	 	SSD2504-V2.0	个	-22	0	0	-22
管状电机动子	 	SSA0602-0.5	个	-2	0	0	-2
管状电机定子	 	SS06-170L	个	-1	0	0	-1
管状电机动子	 	SSA0810-1.0	个	20	0	0	20
管状电机定子(定制)	 	SSD25-170L	个	-19	0	0	-19
管状电机动子	 	SS3210-5.5	个	-28	0	0	-28
管状电机动子	 	SS1604N-1.5	个	-280	0	0	-280
管状电机动子	 	SS0904-7.0	个	-147	0	0	-147
合 计	 	 	 	 	5	489	-14121
